id,quantity
chicken,100
salmon,100
beef,100
pork,100
avocado,100
apple cider vinegar,100
asparagus,100
aubergine,100
baby plum tomatoes,100
bacon,100
baking powder,100
balsamic vinegar,100
basil,100
basil leaves,100
basmati rice,100
bay leaf,100
bay leaves,100
beef brisket,100
beef fillet,100
beef gravy,100
beef stock,100
bicarbonate of soda,100
biryani masala,100
black pepper,100
black treacle,100
borlotti beans,100
bowtie pasta,100
bramley apples,100
brandy,100
bread,100
breadcrumbs,100
broccoli,100
brown lentils,100
brown rice,100
brown sugar,100
butter,100
cacao,100
cajun,100
canned tomatoes,100
cannellini beans,100
cardamom,100
carrots,100
cashew nuts,100
cashews,100
caster sugar,100
cayenne pepper,100
celeriac,100
celery,100
celery salt,100
challots,100
charlotte potatoes,100
cheddar cheese,100
cheese,100
cheese curds,100
cherry tomatoes,100
chestnut mushroom,100
chicken breast,100
chicken breasts,100
chicken legs,100
chicken stock,100
chicken thighs,100
chickpeas,100
chili powder,100
chilled butter,100
chilli,100
chilli powder,100
chinese broccoli,100
chocolate chips,100
chopped onion,100
chopped parsley,100
chopped tomatoes,100
chorizo,100
christmas pudding,100
cilantro,100
cinnamon,100
cinnamon stick,100
cloves,100
coco sugar,100
cocoa,100
coconut cream,100
coconut milk,100
colby jack cheese,100
cold water,100
condensed milk,100
coriander,100
coriander leaves,100
coriander seeds,100
corn tortillas,100
cornstarch,100
cream,100
creme fraiche,100
cubed feta cheese,100
cucumber,100
cumin,100
cumin seeds,100
curry powder,100
dark brown sugar,100
dark soft brown sugar,100
dark soy sauce,100
demerara sugar,100
diced tomatoes,100
digestive biscuits,100
dill,100
doner meat,100
double cream,100
dried oregano,100
dry white wine,100
egg plants,100
egg rolls,100
egg white,100
egg yolks,100
eggs,100
enchilada sauce,100
english mustard,100
extra virgin olive oil,100
fajita seasoning,100
farfalle,100
fennel bulb,100
fennel seeds,100
fenugreek,100
feta,100
fish sauce,100
flaked almonds,100
flax eggs,100
flour,100
flour tortilla,100
floury potatoes,100
"free-range egg, beaten",100
"free-range eggs, beaten",100
french lentils,100
fresh basil,100
fresh thyme,100
freshly chopped parsley,100
fries,100
full fat yogurt,100
garam masala,100
garlic,100
garlic clove,100
garlic powder,100
garlic sauce,100
ghee,100
ginger,100
ginger cordial,100
ginger garlic paste,100
ginger paste,100
golden syrup,100
gouda cheese,100
granulated sugar,100
grape tomatoes,100
greek yogurt,100
green beans,100
green chilli,100
green olives,100
green red lentils,100
green salsa,100
ground almonds,100
ground cumin,100
ground ginger,100
gruyère,100
hard taco shells,100
harissa spice,100
heavy cream,100
honey,100
horseradish,100
hot beef stock,100
hotsauce,100
ice cream,100
italian fennel sausages,100
italian seasoning,100
jalapeno,100
jasmine rice,100
jerusalem artichokes,100
kale,100
khus khus,100
king prawns,100
kosher salt,100
lamb,100
lamb loin chops,100
lamb mince,100
lasagne sheets,100
lean minced beef,100
leek,100
lemon,100
lemon juice,100
lemon zest,100
lemons,100
lettuce,100
lime,100
little gem lettuce,100
macaroni,100
mackerel,100
madras paste,100
marjoram,100
massaman curry paste,100
medjool dates,100
meringue nests,100
milk,100
minced garlic,100
miniature marshmallows,100
mint,100
monterey jack cheese,100
mozzarella balls,100
muscovado sugar,100
mushrooms,100
mustard,100
mustard powder,100
mustard seeds,100
nutmeg,100
oil,100
olive oil,100
onion salt,100
onions,100
orange,100
orange zest,100
oregano,100
oyster sauce,100
paprika,100
parma ham,100
parmesan,100
parmesan cheese,100
parmigiano-reggiano,100
parsley,100
peanut butter,100
peanut oil,100
peanuts,100
peas,100
pecorino,100
penne rigate,100
pepper,100
pine nuts,100
pitted black olives,100
plain chocolate,100
plain flour,100
plum tomatoes,100
potato starch,100
potatoes,100
prawns,100
puff pastry,100
raspberry jam,100
raw king prawns,100
red chilli flakes,100
red chilli,100
red chilli powder,100
red onions,100
red pepper,100
red pepper flakes,100
red wine,100
refried beans,100
rice,100
rice noodles,100
rice stick noodles,100
rice vermicelli,100
rigatoni,100
rocket,100
rolled oats,100
saffron,100
sage,100
sake,100
salsa,100
salt,100
salted butter,100
sausages,100
sea salt,100
self-raising flour,100
semi-skimmed milk,100
sesame seed,100
shallots,100
shredded mexican cheese,100
shredded monterey jack cheese,100
small potatoes,100
smoked paprika,100
smoky paprika,100
sour cream,100
soy sauce,100
soya milk,100
spaghetti,100
spinach,100
spring onions,100
squash,100
stir-fry vegetables,100
strawberries,100
sugar,100
sultanas,100
sunflower oil,100
tamarind ball,100
tamarind paste,100
thai fish sauce,100
thai green curry paste,100
thai red curry paste,100
thyme,100
tomato ketchup,100
tomato puree,100
tomatoes,100
toor dal,100
tuna,100
turmeric,100
turmeric powder,100
turnips,100
vanilla,100
vanilla extract,100
